* 2024-04-09 (2.19.24)
| desc                                  | rep | weight/sec |
|---------------------------------------|-----|------------|
| DB Single Leg RDL                    |   8 |         40 |
| DB Bent Over Row                     |  12 |         50 |
| Lying Hamstring Stretch W/Knee Ext   |   6 |            |
|---------------------------------------|-----|------------|
| TRX Speed Squat                      |  20 |         20 |
| MB Push Up                           |   8 |          8 |
| 90/90 Hip Openers                    |  10 |            |
|---------------------------------------|-----|------------|
| DB Bicep Curl 21's                   |  21 |         40 |
| Bench Dip 21's                       |  21 |         21 |
| DB Shoulder Press 21's               |  21 |         30 |
| MB Russian Twist                     |  12 |         15 |
|---------------------------------------|-----|------------|
